s,w
0.000000000000000000e+00,0.000000000000000000e+00
3.448275862068965469e-02,3.691564354639066854e-03
6.896551724137930939e-02,2.721534136232840392e-03
1.034482758620689641e-01,1.301611935360935147e-02
1.379310344827586188e-01,4.574495944016353406e-03
1.724137931034482873e-01,5.532184648279078742e-03
2.068965517241379282e-01,5.861743454107546519e-02
2.413793103448275690e-01,-2.471037798306641511e-02
2.758620689655172376e-01,1.183009457729772840e-01
3.103448275862069061e-01,3.185073068896111803e-02
3.448275862068965747e-01,2.385742463648959227e-02
3.793103448275861878e-01,-6.250071111434606086e-02
4.137931034482758563e-01,-1.235599559994512014e-01
4.482758620689655249e-01,1.724636743073310330e-01
4.827586206896551380e-01,3.253193352076387546e-02
5.172413793103448620e-01,-7.351681351857028424e-02
5.517241379310344751e-01,7.030085704302446725e-02
5.862068965517240882e-01,1.103731459598684267e-01
6.206896551724138122e-01,-7.087714151125196205e-02
6.551724137931034253e-01,2.713387501601636220e-01
6.896551724137931494e-01,-2.078870619249130296e-03
7.241379310344827624e-01,1.867398386595768567e-01
7.586206896551723755e-01,9.273727914483953505e-02
7.931034482758620996e-01,3.559471037833083357e-02
8.275862068965517127e-01,-3.919038033546481253e-02
8.620689655172413257e-01,1.185458226541916404e-01
8.965517241379310498e-01,7.888504069663462848e-02
9.310344827586206629e-01,5.673591264065613177e-02
9.655172413793102759e-01,1.774993017575295096e-02
1.000000000000000000e+00,1.774993017575295096e-02
